U.S. Energy Information Administration,,,,,,,,,,,,,
July 2024 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: July 29, 2024",,,,,,,,,,,,,
"Next Update: August 27, 2024",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 10.2c Renewable Energy Consumption:  Transportation and Electric Power Sectors,,,,,,,,,,,,,
,,,,,,,,,,,,,
Annual Total,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Renewable Diesel Fuel Consumed by the Transportation Sector ,Other Biofuels Consumed by the Transportation Sector ,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
1969,Not Available,Not Available,Not Available,Not Available,Not Available,853.657,2.097,Not Available,Not Available,3.342,Not Available,3.342,859.097
1970,Not Available,Not Available,Not Available,Not Available,Not Available,845.199,1.792,Not Available,Not Available,1.427,2.313,3.74,850.731
1971,Not Available,Not Available,Not Available,Not Available,Not Available,908.652,1.869,Not Available,Not Available,1.167,2.094,3.261,913.782
1972,Not Available,Not Available,Not Available,Not Available,Not Available,930.154,4.957,Not Available,Not Available,1.358,2.073,3.431,938.542
1973,Not Available,Not Available,Not Available,Not Available,Not Available,928.349,6.707,Not Available,Not Available,1.355,2.056,3.411,938.466
1974,Not Available,Not Available,Not Available,Not Available,Not Available,1027.122,8.368,Not Available,Not Available,0.716,1.902,2.618,1038.108
1975,Not Available,Not Available,Not Available,Not Available,Not Available,1023.759,11.076,Not Available,Not Available,0.183,1.806,1.989,1036.824
1976,Not Available,Not Available,Not Available,Not Available,Not Available,968.008,12.339,Not Available,Not Available,0.875,1.889,2.764,983.112
1977,Not Available,Not Available,Not Available,Not Available,Not Available,752.259,12.223,Not Available,Not Available,3.21,1.808,5.018,769.5
1978,Not Available,Not Available,Not Available,Not Available,Not Available,956.789,10.16,Not Available,Not Available,2.043,1.455,3.498,970.447
1979,Not Available,Not Available,Not Available,Not Available,Not Available,954.619,13.269,Not Available,Not Available,3.104,2.052,5.156,973.044
1980,Not Available,Not Available,Not Available,Not Available,Not Available,941.784,17.309,Not Available,Not Available,2.861,1.639,4.5,963.593
1981,6.723,Not Available,Not Available,Not Available,6.723,889.452,19.401,Not Available,Not Available,2.563,1.282,3.845,912.698
1982,18.285,Not Available,Not Available,Not Available,18.285,1055.034,16.524,Not Available,Not Available,2.048,1.307,3.355,1074.913
1983,33.72,Not Available,Not Available,Not Available,33.72,1133.227,20.728,Not Available,0.009,2.271,1.712,3.983,1157.947
1984,41.265,Not Available,Not Available,Not Available,41.265,1095.765,26.411,0.018,0.022,4.817,4.432,9.249,1131.465
1985,49.738,Not Available,Not Available,Not Available,49.738,959.282,31.818,0.036,0.02,7.765,6.682,14.447,1005.602
1986,57.437,Not Available,Not Available,Not Available,57.437,992.36,35.171,0.048,0.014,5.134,7.158,12.292,1039.885
1987,66.071,Not Available,Not Available,Not Available,66.071,851.959,36.766,0.036,0.012,8.159,7.23,15.389,904.162
1988,67.125,Not Available,Not Available,Not Available,67.125,760.67,35.144,0.031,0.003,9.663,7.622,17.285,813.133
1989,68.091,Not Available,Not Available,Not Available,68.091,918.474,49.793,0.855,7.206,99.575,131.955,231.53,1207.858
1990,60.421,Not Available,Not Available,Not Available,60.421,988.638,52.662,1.253,9.515,128.516,187.991,316.507,1368.574
1991,70.095,Not Available,Not Available,Not Available,70.095,975.898,54.478,1.61,10.069,125.795,228.556,354.351,1396.405
1992,79.746,Not Available,Not Available,Not Available,79.746,853.054,55.063,1.364,9.852,140.221,262.236,402.457,1321.789
1993,93.66,Not Available,Not Available,Not Available,93.66,946.911,57.283,1.578,10.256,149.832,264.787,414.619,1430.646
1994,104.84,Not Available,Not Available,Not Available,104.84,866.664,53.007,1.66,11.762,152.335,281.554,433.889,1366.982
1995,112.49,Not Available,Not Available,Not Available,112.49,1042.06,45.647,1.695,10.796,125.412,296.252,421.664,1521.863
1996,80.661,Not Available,Not Available,Not Available,80.661,1164.034,48.889,1.778,11.035,137.86,300.413,438.273,1664.009
1997,101.966,Not Available,Not Available,Not Available,101.966,1196.411,50.245,1.744,11.219,136.992,308.981,445.973,1705.592
1998,112.843,Not Available,Not Available,Not Available,112.843,1084.561,50.409,1.714,10.324,136.707,307.789,444.496,1591.504
1999,117.795,Not Available,Not Available,Not Available,117.795,1073.63,50.59,1.689,15.313,138.026,315.198,453.224,1594.446
2000,134.887,Not Available,Not Available,Not Available,134.887,925.804,48.086,1.683,19.084,134.321,318.433,452.754,1447.412
2001,140.822,1.31,Not Available,Not Available,142.132,729.313,46.883,1.852,22.988,126.402,210.736,337.138,1138.173
2002,167.587,2.088,Not Available,Not Available,169.675,888.797,49.444,1.893,35.329,150.192,229.782,379.974,1355.437
2003,228.086,1.724,Not Available,Not Available,229.81,926.398,49.215,1.822,38.172,167.287,229.882,397.169,1412.776
2004,286.29,3.425,Not Available,Not Available,289.715,904.398,50.535,1.962,48.258,165.189,222.877,388.066,1393.22
2005,327.426,11.589,Not Available,Not Available,339.016,911.14,50.128,1.878,60.77,184.973,220.722,405.695,1429.61
2006,441.702,33.293,Not Available,Not Available,474.995,976.698,49.706,1.732,90.722,181.815,230.667,412.482,1531.341
2007,556.791,45.131,Not Available,Not Available,601.922,838.815,49.942,2.087,117.543,185.956,237.492,423.447,1431.836
2008,785.844,38.732,Not Available,Not Available,824.576,863.562,50.634,2.949,188.899,177.348,257.926,435.274,1541.318
2009,893.9,41.064,Not Available,Not Available,934.964,926.378,51.21,3.041,252.099,180.046,260.966,441.012,1673.738
2010,1041.351,33.184,Not Available,Not Available,1074.536,881.848,51.928,4.114,322.899,195.597,263.775,459.372,1720.16
2011,1044.999,113.071,8.077,Not Available,1166.147,1083.414,52.258,5.893,409.852,182.159,254.568,436.727,1988.145
2012,1044.606,114.714,9.7,Not Available,1169.02,934.409,53.099,14.208,480.235,190.191,262.453,452.644,1934.594
2013,1071.607,182.313,38.575,Not Available,1292.495,904.379,53.823,29.768,572.335,207.426,262.185,469.611,2029.916
2014,1093.489,180.784,38.475,1.546,1314.294,880.454,54.172,59.042,619.264,251.253,278.89,530.143,2143.074
2015,1109.915,190.648,48.351,2.124,1351.038,844.933,54.311,83.442,650.146,243.857,281.022,524.879,2157.71
2016,1143.043,266.092,56.988,2.489,1468.612,908.704,53.998,121.117,773.808,224.407,280.662,505.069,2362.696
2017,1155.55,253.312,61.654,3.137,1473.653,1019.202,54.342,179.893,866.901,229.324,280.217,509.541,2629.879
2018,1152.42,242.904,57.266,3.135,1455.725,993.396,54.366,215.819,929.417,221.063,275.021,496.085,2689.081
2019,1161.614,231.31,99.406,4.261,1496.591,978.057,51.286,243.155,1008.601,200.524,247.613,448.137,2729.235
2020,1004.386,239.412,107.486,4.202,1355.487,969.21,52.684,302.001,1150.366,185.374,242.199,427.573,2901.834
2021,1109.548,218.201,158.102,10.104,1495.955,854.334,52.795,390.754,1289.454,196.746,229.465,426.211,3013.548
2022,1111.38,211.564,224.667,25.485,1573.096,865.374,54.889,487.411,1480.788,197.691,176.49,374.181,3262.642
2023,1128.392,247.415,375.205,37.394,1788.405,814.485,56.168,557.811,1449.973,161.556,167.49,329.045,3207.481
