U.S. Energy Information Administration,,,,,,,,,,
July 2024 Monthly Energy Review,,,,,,,,,,
,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,
,,,,,,,,,,
"Release Date: July 29, 2024",,,,,,,,,,
"Next Update: August 27, 2024",,,,,,,,,,
,,,,,,,,,,
Table 10.2b Renewable Energy Consumption:  Industrial Sector,,,,,,,,,,
,,,,,,,,,,
Annual Total,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector
1985,10.786,Not Available,Not Available,Not Available,1645,229.635,0.848,42.191,1917.674,1928.459
1986,10.786,Not Available,Not Available,Not Available,1610,255.703,0.899,48.299,1914.901,1925.687
1987,10.786,Not Available,Not Available,Not Available,1576,281.77,1.007,55.105,1913.881,1924.667
1988,10.786,Not Available,Not Available,Not Available,1625,307.706,0.939,55.458,1989.102,1999.888
1989,9.288,1.8,0.011,No Data Reported,1583.563,200.406,0.984,55.798,1840.751,1851.849
1990,10.151,1.9,0.012,No Data Reported,1441.912,192.323,0.824,49.127,1684.186,1696.249
1991,9.702,2.1,0.014,No Data Reported,1409.847,184.674,1.004,56.46,1651.984,1663.8
1992,10.065,2.2,0.015,No Data Reported,1461.223,178.514,1.131,63.665,1704.533,1716.813
1993,9.795,2.4,0.016,No Data Reported,1484.345,181.157,1.19,74.016,1740.708,1752.919
1994,20.568,2.8,0.018,No Data Reported,1579.77,199.247,1.412,81.955,1862.384,1885.77
1995,18.097,3,0.021,No Data Reported,1652.078,195.026,1.541,85.627,1934.272,1955.39
1996,20.054,2.9,0.024,No Data Reported,1683.499,223.549,1.087,60.897,1969.032,1992.01
1997,19.398,3.1,0.027,No Data Reported,1730.613,184.014,1.44,79.931,1995.998,2018.523
1998,18.249,3,0.031,No Data Reported,1603.44,180.344,1.456,86.451,1871.691,1892.971
1999,16.235,4.1,0.036,No Data Reported,1619.52,171.042,1.127,89.834,1881.523,1901.894
2000,14.109,4.4,0.04,No Data Reported,1635.925,145.111,1.27,99.179,1881.484,1900.034
2001,10.732,4.76,0.049,No Data Reported,1442.644,128.595,2.59,107.597,1681.425,1696.966
2002,13.05,4.787,0.058,No Data Reported,1396.434,146.345,3.145,130.054,1675.978,1693.873
2003,14.407,3.4,0.068,No Data Reported,1363.315,142.439,4.453,168.001,1678.208,1696.082
2004,11.084,3.8,0.084,No Data Reported,1475.735,131.929,6.283,201.025,1814.972,1829.94
2005,10.903,4.3,0.126,No Data Reported,1451.729,148.248,6.843,227.277,1834.097,1849.425
2006,9.892,4.4,0.183,No Data Reported,1472.398,129.584,9.668,280.347,1891.997,1906.472
2007,5.425,4.7,0.259,No Data Reported,1413.023,144.783,9.84,369.085,1936.731,1947.115
2008,5.718,5,0.416,No Data Reported,1338.734,143.123,11.645,518.793,2012.295,2023.429
2009,6.375,4.2,0.559,No Data Reported,1178.37,154.366,12.932,602.595,1948.263,1959.396
2010,5.69,4.2,0.86,No Data Reported,1409,168.178,16.56,726.575,2320.313,2331.063
2011,6.137,4.2,1.417,0.017,1437.638,164.682,16.737,755.698,2374.755,2386.526
2012,8.029,4.2,2.361,0.065,1462.245,158.904,16.688,710.872,2348.709,2363.365
2013,11.816,4.2,3.161,0.127,1489.011,187.174,17.553,713.63,2407.368,2426.673
2014,4.374,4.2,3.944,0.18,1495,190.025,14.168,766.475,2465.667,2478.366
2015,4.809,4.2,5.024,0.182,1475.888,190.32,17.551,790.571,2474.329,2488.545
2016,4.331,4.2,7.121,0.241,1473.776,174.425,18.039,820.821,2487.061,2502.954
2017,4.717,4.2,8.21,0.288,1442.324,167.536,18.425,847.154,2475.439,2492.854
2018,3.92,4.2,9.156,0.331,1432,165.402,18.734,855.234,2471.371,2488.977
2019,3.526,4.2,10.668,0.34,1406.983,155.793,18.73,834.983,2416.49,2435.224
2020,3.415,4.2,12.234,2.106,1356.188,159.681,18.976,735.148,2269.993,2291.948
2021,3.194,4.2,13.629,0.381,1365.859,161.496,18.782,789.495,2335.632,2357.036
2022,3.067,4.2,14.754,0.444,1308.493,160.78,19.792,808.229,2297.293,2319.758
2023,3.086,4.2,16.175,0.426,1224.432,159.591,20.095,821.337,2225.455,2249.341
